Incidence,ID
4658.795077266453,6c06615
4825.228857233169,e0cf76e
4374.506424004998,e9f95f0
3808.2171898763245,5dffe44
3455.5116862408704,9f9ea9b
3198.1812109935263,6896488
4208.595242180179,876b028
4389.570079315689,7ce72e2
4090.274944588318,9cd2749
3632.2603037684985,84719e8
3338.2587207104752,22ae4c5
3107.931541859537,18a4727
3842.091394172177,0c22b19
4004.769001057059,6482a24
3860.2028258080804,ecefe76
3505.228367377161,d6c69da
3266.092230683978,eb5d6cb
3046.521595828528,403aca5
3601.6837301576643,a2b95d6
3741.0622498981775,a1908a8
3707.91713112602,505415e
3436.4142456223217,f786e41
3208.564257257347,8f00430
3006.246074818936,7b1c086
3463.8037641591845,8121180
3623.290256847406,0e04943
3642.207665546326,96eee48
3565.528135999858,ffd7748
3162.597741152201,3e6ac0c
3171.833455989898,e6616d1
3356.5347055181683,7b252b3
3542.113101341088,0c7ff70
3612.632317636228,76b1fbc
3426.062220822124,8d795b9
3260.557411943558,30f3314
2997.18556997291,e0765bb
3264.375428951016,15d61cd
3452.8121321784683,d7351a4
3508.837900694039,a02a8c9
3385.412227758915,f35189b
3149.296391462146,6f45b0a
3012.1616163030194,ee3fc13
3215.5609890502647,c913d68
3465.0946083200333,4dec7bf
3532.720955391772,daaff37
3456.085854734883,e5a07d3
3226.878786622971,efd06d0
3053.3178931600055,c037c6b
3232.9942187447923,1110030
3441.459031326286,6ce4789
3612.5570675963513,c5eb9ac
3442.0632538695045,76d7382
3275.410209352882,9a3ba7e
3135.205683943072,f200b42
3257.5016079559637,1c4e1dc
3509.5672111657846,aa0d75e
3532.4822645108175,fd1647d
3458.3472997248823,4fb9ace
3287.9578156081816,a26e712
3194.9922777925335,b0179d2
3231.7842019445934,23043db
3445.3593533491025,655708c
3582.5784474766197,2187861
3500.1088539527195,06e7330
3311.223615899161,ee7f0e4
3218.818357209575,2d72e8f
3247.388528415289,e250a73
3500.1742181880536,b21c05b
3661.7356653346287,9b375a0
3570.9451191925627,68e4a96
3335.9756695778574,89b9241
3233.2212964007235,05c79d9
3250.096069558231,5c825db
3547.1613381297725,b9e498c
3738.515316904688,60895de
3655.427808717279,f5cfb0a
3391.937579109078,8363c20
3248.3034495714155,cb7a4a3
3289.1617106995695,4cc27bd
3584.139908178992,c43f8b3
3843.667641570765,689a8af
3734.350382324012,4092aca
3460.2373156820972,6bb2b7e
3291.251722686261,49276dd
3309.9562814194387,e82d3eb
3637.7540831643882,fa9d74c
3941.3462466167707,d2f7027
3824.445325492688,52dadec
3519.307392615138,f6a42a9
3307.2535812420756,9301297
3300.1126558199176,e390ed9
3616.448330885079,495c3ec
3917.9959781812104,0f6a44d
3816.2064070497327,9509b6f
3519.0903708470582,aeed999
3305.78078262978,0c3b4fb
3437.3109668120387,2187382
3838.187324555498,0cb37bd
4232.53984217541,095a94a
4170.295556946044,4ba2ebb
3840.7105347235697,22a1bcb
3572.126042292661,f53493d
3955.9178412837855,e0929cc
4493.944876249329,834618e
5108.761758668642,2d50839
5090.311511094649,84c14e8
4546.09680257234,4529661
4094.6002947410884,8ba2c39
4389.491659919344,87079ae
5136.937475641985,438ff1c
6001.893318428609,0c2f158
5965.576682344828,755b4ae
5198.93584606797,b6d2c41
4601.448188876059,af14618
4758.804955227627,9ea1b14
5822.206037685299,ef7ae73
6773.851837488729,f9569e3
6742.1632032742655,a1ca768
5862.014353787646,3774bea
5013.658786253727,8b6872c
4889.08829060957,cbad409
5968.31984377608,89387b9
6966.44489539146,baa37ae
6725.096480850549,397e0ae
5810.168345223089,1894aa7
5069.320741348794,f52ecfb
5323.605625306523,9708875
6387.763582612363,40ce2dc
7424.187242267969,9e86ad6
7222.609745184612,53426d9
6277.28166044753,2f30ecc
5323.3805036968115,9d0482e
5319.104623656927,7a90863
6483.938304820866,a222508
7304.692597657663,457799c
7009.8494618159875,eeb34b0
6031.309584136161,6df2fc5
5248.887225573057,b1d9a16
5412.278889351671,afd2c53
6679.9467570506085,06991bb
7338.253625932326,94e53cf
6943.898607673084,e7d4a10
5981.25756240133,5d3e109
5264.821245470029,c02b98e
5447.978021093379,da27ff6
6794.820282224556,409d597
7492.263088381512,e76c65e
7196.891071998015,2a6a894
6201.596675776459,0a5999f
5271.174907811014,0afd027
5315.846721019598,f982966
6520.531819882874,c5cff8c
7198.712655789411,aca3a7b
6850.120628680369,1d3cebf
5903.067169812136,ec7fcc8
5167.729579487031,c642027
5556.179297452818,6f4e16d
6812.470609922955,8cbfd5c
7559.256934937145,ebec1c2
7305.824416030904,a293fd7
6408.685129812911,4003359
5523.981605978949,f2168a5
5601.760533879183,5350ec2
6645.441376212018,f654396
7668.285305489752,0841eb5
7618.816300817343,97d55fa
6692.213374358979,28751c5
5774.311060447112,10611eb
5474.323053520373,779c31a
6524.381182863145,1ca6d63
7528.232489787832,5308adb
7277.5922019417085,72aca77
6279.890968408666,2de2077
5538.630115554169,c386017
5391.725990342369,4644019
6572.780585946338,755df05
7394.036801848651,9d314e3
6934.525502711926,216c726
5925.103179404592,f661616
5214.198418367299,8b31800
4717.430734153376,2b337b9
4873.134269067507,e0b2889
4405.479710669798,2aff575
3798.4244006929894,6e12e5f
3448.1756323699497,0dfeed6
3190.0145170237806,a5b56ed
4351.260038605692,0aeb368
4477.037213176076,ca4019d
4163.856412709191,c9ab59b
3699.3105664083805,d8520d0
3392.029941202359,caa0336
3151.5124407286676,379219b
3868.75464500753,47c9d81
4054.6428175114856,5ced535
3875.3721437453996,f084d05
3541.097376289349,fa2061e
3284.0672349353736,b07f33e
3025.466311876958,a77b481
3629.259364510262,0434a3d
3796.3493849785345,ca691f9
3727.683866347205,def157f
3560.6852237699054,d6dd9b4
3307.641624933724,ec2a679
2991.6765440655536,1a23cc5
3399.8630678544623,a4d7800
3550.4664757779324,95e64ba
3613.7017637767945,fcc0004
3433.7742924896324,7ab2b5f
3156.475092365329,73f5474
2973.967683525866,ece0bef
3294.7672871528302,1bc4433
3523.340726610107,505b02b
3620.018791953561,972b512
3468.9782371169504,ce48e10
3229.6536597837244,a33b551
2993.6794263306574,71a8e05
3238.5573596434215,16465c1
3445.204601726096,4551fa3
3513.452670318599,96d907a
3415.378397848042,1059061
3175.8426957521224,83389f9
2994.7714628824006,70ca270
3284.604183425785,132c243
3540.54509008486,7ad868d
3552.631767512856,be2b8ca
3521.1597130394866,68ec7ba
3206.267609553416,02dabd6
3042.4006286850417,2f3fd0e
3268.001430629196,73142ee
3514.4049265711997,43486df
3607.946068132631,af17a9d
3518.679344103216,d801988
3272.408403370828,78c10fb
3179.0528724469327,b22ef7f
3220.9285196931237,ef24e7f
3473.7243080366684,d197d26
3637.3538673586613,77c6ece
3516.0137329944273,070e6f1
3323.4810689410724,9efaf4c
3215.069747275692,019a08e
3210.9817732873958,21b1c9f
3460.4885859676474,986c331
3593.742323503644,a51f3ed
3548.402251873549,31fe347
3356.2758152699507,27a2ab0
3257.746373244022,bdcedec
3266.4091199484346,006856b
3580.221060160356,51928a1
3783.4012626141753,75fa097
3699.7684459786356,55f7e1a
3462.8993358751654,2bdd35e
3303.7646818528483,8025e9f
3088.5564135422,56ffb40
3352.9480837208266,615a480
3528.769609821459,769630a
3452.9273949258704,aceb872
3292.5811882611115,1567e81
3236.1534181953557,1565b10
3269.3715463433496,97eca49
3646.3050059071306,76d8335
3946.1127436724823,5496be4
3837.059882202389,079fd33
3545.069009671627,3b7babe
3340.2343013578884,830f896
3308.413681156484,4ef308c
3666.3046557929824,f1215b9
3997.646600426109,e54d0c4
3882.3830274270626,e7feb07
3589.75201786971,c42d89c
3373.154718781222,0fa8ee1
3341.973236703249,e443efe
3701.235047294304,4a8adff
4058.7472816270183,75476dc
3955.5127842382963,ef3f196
3639.5528844871856,bbdd023
3401.201651567712,11dabcc
3517.1759125275735,6bd66a0
3904.0512923309107,4891d81
4320.885979895754,7e695bf
4291.2727081550565,09fd59d
3918.0160821466484,42c09bd
3594.395701100292,584d418
4004.597890890185,01063a6
4563.917533381413,a032ab9
5190.43197131115,64e02f3
5195.6853041275435,1dfb4ad
4636.770500063381,aff7030
4159.091505716265,9d4e995
4492.901006830007,1d239e0
5258.5858320241905,924bc5a
6093.593595549641,c3722df
6104.389769830203,2c0a3cf
5343.242796680856,87ab97d
4705.721138825499,1096910
4932.221658242904,55fa901
5873.118473367282,c1702cb
6902.944835419927,e379504
6856.743610456892,783e057
5931.921513095366,6d10917
5124.401994250615,93adacb
5304.379078722276,db7a6a3
6282.5345574871235,570d4b6
7467.737037111317,8850167
7315.073084431413,dfc13a5
6325.698401322229,9e85e80
5355.43510279492,5a2934c
5458.11433026887,4e98783
6545.136010298509,cd95ada
7703.500649898835,4305cd1
